Child	Canonical Name
A06081	Ilisagvik College, Alaska
A06082	Dine College, Arizona
A06083	Tohono O'odham Community College, Sells, Arizona
A06084	Deganawidah-Quetzalcoatl University, California
A06085	Haskell Indian Nations University, Kansas
A06086	Fond du Lac Tribal and Community College, Minnesota
A06087	Leech Lake Tribal College, Minnesota
A06088	Red Lake Nation College, Minnesota
A06089	Blackfeet Community College, Montana
A06090	Chief Dull Knife College, Montana
A06091	Fort Peck Community College, Montana
A06092	Salish Kootenai College, Montana
A06093	Little Priest Tribal College, Nebraska
A06094	Navajo Technical University, New Mexico
A06095	Nueta Hidatsa Sahnish College, North Dakota
A06096	Sitting Bull College, North Dakota
A06097	Turtle Mountain Community College, North Dakota
A06098	United Tribes Technical College, North Dakota
A06100	Oglala Lakota College, South Dakota
A06101	Sinte Gleska University, South Dakota
A06102	College of Menominee Nation, Wisconsin
A06103	Te Wananga o Aotearoa, New Zealand
A06104	Whare Wananga o Awanuiarangi, New Zealand
A06195	Northwest Indian College
